D_ue_E1_OK_distance_sn23,10.725
D_ue_E1_OK_distance_sn24,13.475
D_ue_E1_OK_distance_ew25,34.337
D_ue_E0_OK_distance_sn22,10.725
D_ue_U1_OK_distance_sn11,4.92
D_ue_E0_OK_distance_ew29,34.337
D_ue_E1_OK_distance_sn9,2.29
D_ue_E0_OK_distance_ew2,7.117
D_ue_E1_OK_distance_sn22,2.05
D_ue_E1_OK_distance_sn10,4.92
D_ue_E0_OK_distance_ew6,2.759
D_ue_E0_OK_distance_sn17,6.105
D_ue_E0_OK_distance_ew3,9.687
D_ue_E1_OK_distance_sn1,4.405
D_ue_E1_OK_distance_ew7,8.187
D_ue_E0_OK_distance_sn18,11.095
D_ue_U1_OK_distance_sn23,2.05
D_ue_E0_OK_distance_sn23,13.475
D_ue_U1_OK_distance_ew6,2.759
D_ue_E0_OK_distance_sn21,2.05
D_ue_E1_OK_distance_ew5,3.777
D_ue_E1_OK_distance_ew4,2.759
